slug,title,year,case_id,status,source_count
operation-onymous,Operation Onymous,2014,CYB-2014-001,completed,4
darkode-takedown,Darkode Forum Takedown,2015,CYB-2015-051,completed,5
dridex-operations,Dridex/Evil Corp Disruption and Prosecution,2015,CYB-2015-007,completed,8
operation-pleiades,Operation Pleiades,2015,CYB-2015-006,completed,5
operation-shrouded-horizon,Operation Shrouded Horizon,2015,CYB-2015-001,completed,5
operation-source,Operation Source,2015,CYB-2015-003,completed,5
ramnit-botnet-takedown,Ramnit Botnet Takedown,2015,CYB-2015-002,completed,5
simda-botnet-takedown,Simda Botnet Takedown,2015,CYB-2015-004,completed,5
zeus-spyeye-jit-takedown,Zeus/SpyEye Joint Investigation Team Takedown,2015,CYB-2015-005,completed,6
global-airport-action-day,Global Airport Action Day,2016,CYB-2016-003,completed,5
operation-avalanche,Operation Avalanche,2016,CYB-2016-001,completed,4
alphabay-takedown,Operation Bayonet -- AlphaBay & Hansa Takedown,2017,CYB-2017-002,completed,5
andromeda-botnet-takedown,Andromeda Botnet Dismantling,2017,CYB-2017-001,completed,5
carbanak-cobalt-takedown,Carbanak/Cobalt Mastermind Arrest,2018,CYB-2018-001,completed,5
fin7-takedown,FIN7 Cybercrime Group Takedown,2018,CYB-2018-004,completed,5
infraud-organization-takedown,Infraud Organization Takedown,2018,CYB-2018-003,completed,7
operation-bakovia,Operation Bakovia (CTB-Locker/Cerber Ransomware),2018,CYB-2018-050,completed,5
operation-wirewire,Operation WireWire,2018,CYB-2018-002,completed,5
cyberbunker-takedown,CyberBunker Bulletproof Hosting Takedown,2019,,completed,5
goznym-takedown,GozNym Malware Network Dismantling,2019,CYB-2019-001,completed,5
imminent-monitor-rat-takedown,Imminent Monitor RAT Takedown,2019,CYB-2019-050,completed,5
xdedic-marketplace-takedown,xDedic Marketplace Takedown,2019,CYB-2019-051,completed,9
2bagoldmule-qqaazz,2BaGoldMule (QQAAZZ Takedown),2020,CYB-2020-003,completed,5
carding-action-2020,Carding Action 2020,2020,,completed,6
operation-falcon,Operation Falcon,2020,CYB-2020-001,completed,5
operation-goldfish-alpha-night-fury,Operation Goldfish Alpha / Night Fury,2020,CYB-2020-002,completed,5
operation-nova,Operation Nova (Safe-Inet VPN Takedown),2020,CYB-2020-050,completed,5
qqaazz-money-laundering-takedown,QQAAZZ Money Laundering Network Takedown,2020,CYB-2020-052,completed,5
trickbot-operations,TrickBot Botnet Disruption,2020,CYB-2020-003,completed,4
darkmarket-takedown,DarkMarket Marketplace Takedown,2021,CYB-2021-001,completed,5
doublevpn-takedown,DoubleVPN Takedown,2021,CYB-2021-051,completed,5
emotet-takedown,Operation LadyBird -- Emotet Botnet Takedown,2021,CYB-2021-003,completed,4
operation-dark-huntor,Operation Dark HunTOR,2021,CYB-2021-010,completed,5
operation-lyrebird,Operation Lyrebird,2021,CYB-2021-050,completed,5
marketplace-a-dekhtyarchuk-indictment,Marketplace A - Dekhtyarchuk Indictment,2022,CYB-2022-054,completed,5
operation-delilah,Operation Delilah (SilverTerrier BEC),2022,CYB-2022-050,completed,5
operation-killer-bee,Operation Killer Bee,2022,CYB-2022-001,completed,5
vpnlab-takedown,VPNLab.net Takedown,2022,CYB-2022-002,completed,5
blackcat-lockeroga-kelvin-security-2023,"BlackCat/ALPHV, LockerGoga, and Kelvin Security Enforcement Actions (Dec 2023)",2023,CYB-2023-051,completed,5
hive-ransomware-takedown,Hive Ransomware Infrastructure Takedown,2023,CYB-2023-006,completed,5
operation-nervone,Operation Nervone (OPERA1ER),2023,CYB-2023-052,completed,5
911-s5-botnet-takedown,911 S5 Botnet Dismantling,2024,CYB-2024-014,completed,5
cryptex-pm2btc-sanctions,Cryptex and PM2BTC Coordinated Sanctions and Seizure Action,2024,CYB-2024-052,completed,6
nemesis-market-takedown,Nemesis Market Takedown,2024,,completed,5
operation-chakra-iii,Operation Chakra-III,2024,CYB-2024-021,completed,5
operation-cronos-phase1,Operation Cronos — Phase 1 (LockBit Disruption),2024,CYB-2024-002,completed,7
operation-cronos-phase3,Operation Cronos — Phase 3 (LockBit Arrests and Sanctions),2024,CYB-2024-006,completed,5
operation-destabilise,Operation Destabilise,2024,CYB-2024-051,completed,5
operation-endgame,Operation Endgame,2024,,ongoing,9
operation-endgame-phase1,Operation Endgame — Phase 1 (Botnet Takedown),2024,CYB-2024-003,completed,5
operation-morpheus,Operation Morpheus (Cobalt Strike Takedown),2024,CYB-2024-050,completed,4
operation-orion-international,Operation Orion International,2024,CYB-2024-001,completed,4
operation-serengeti,Operation Serengeti,2024,CYB-2024-008,completed,5
operation-synergia-ii,Operation Synergia II,2024,CYB-2024-007,completed,5
operation-taken-down-illegal-iptv-2024,Operation Taken Down Illegal IPTV Takedown,2024,CYB-2024-054,completed,2
bidencash-takedown,BidenCash Marketplace Seizure,2025,,completed,4
de-ch-crypto-mixer-takedown-2025,DE-CH Cryptocurrency Mixing Service Takedown (December 2025),2025,CYB-2025-013,completed,5
lumma-stealer-takedown,Lumma Stealer Takedown,2025,CYB-2025-012,completed,5
operation-checkmate-blacksuit,Operation Checkmate (BlackSuit/Royal Ransomware Takedown),2025,CYB-2025-007,completed,5
operation-cyber-guardian,Operation Cyber Guardian,2025,CYB-2025-002,completed,5
operation-endgame-phase2,Operation Endgame — Phase 2 (Ransomware Kill Chain Disruption),2025,CYB-2025-006,completed,6
operation-heart-blocker,Operation Heart Blocker,2025,,completed,5
operation-secure-interpol,Operation Secure (INTERPOL Infostealer Crackdown),2025,CYB-2025-012,completed,3
operation-sentinel-africa,Operation Sentinel (Africa),2025,CYB-2025-010,completed,5
operation-stream-kidflix,Operation Stream,2025,CYB-2025-001,completed,5
operation-talent,Operation Talent,2025,CYB-2025-011,completed,5
phobos-8base-crackdown,Phobos/8Base Ransomware Crackdown,2025,CYB-2025-003,completed,5
qakbot-gallyamov-indictment,QakBot / Gallyamov Indictment,2025,CYB-2025-005,ongoing,4
