slug,partition_value,coordinator,gatekeeper,representative,consultant,liaison,total
united-states,north-america,0,18,18,146,2850,3032
nigeria,west-africa,12,224,224,356,1688,2504
united-kingdom,western-europe,10,222,222,76,1558,2088
south-africa,southern-africa,0,41,41,330,1614,2026
france,western-europe,10,209,209,54,1492,1974
australia,oceania,0,0,0,86,1798,1884
spain,western-europe,10,197,197,52,1262,1718
poland,eastern-europe,14,191,191,94,1182,1672
sweden,northern-europe,2,77,77,72,1346,1574
germany,western-europe,10,171,171,38,1164,1554
romania,eastern-europe,14,181,181,48,1126,1550
ghana,west-africa,0,40,40,312,1154,1546
singapore,southeast-asia,0,55,55,94,1326,1530
austria,western-europe,10,147,147,22,858,1184
canada,north-america,0,0,0,46,1128,1174
japan,east-asia,2,83,83,80,874,1122
india,south-asia,0,0,0,38,854,892
bulgaria,eastern-europe,4,84,84,18,628,818
netherlands,western-europe,10,104,104,30,506,754
brazil,south-america,0,328,328,2,90,748
ireland,western-europe,2,97,97,28,440,664
thailand,southeast-asia,0,14,14,42,572,642
italy,southern-europe,0,37,37,28,538,640
armenia,eastern-europe,0,54,54,18,512,638
colombia,south-america,0,301,301,0,22,624
portugal,western-europe,2,69,69,4,462,606
malaysia,southeast-asia,0,12,12,40,516,580
argentina,south-america,0,287,287,0,0,574
belgium,western-europe,6,51,51,22,318,448
south-korea,east-asia,2,50,50,26,264,392
finland,northern-europe,2,24,24,26,308,384
kenya,east-africa,0,43,43,4,254,344
switzerland,western-europe,4,41,41,8,234,328
cambodia,unknown,38,91,91,0,14,234
indonesia,southeast-asia,0,0,0,38,196,234
philippines,unknown,38,91,91,0,14,234
albania,balkans,0,0,0,4,228,232
hungary,central-europe,0,11,11,16,170,208
luxembourg,western-europe,6,32,32,6,124,200
ukraine,eastern-europe,4,22,22,10,116,174
united-arab-emirates,unknown,24,67,67,0,14,172
lithuania,eastern-europe,4,19,19,12,102,156
latvia,eastern-europe,0,19,19,4,110,152
moldova,eastern-europe,8,17,17,2,54,98
benin,west-africa,4,29,29,2,26,90
cameroon,central-africa,0,0,0,4,86,90
zambia,southern-africa,0,0,0,6,84,90
vietnam,unknown,8,40,40,0,0,88
brunei,unknown,22,17,17,0,0,56
laos,unknown,22,17,17,0,0,56
czech-republic,central-europe,0,1,1,4,30,36
montenegro,southeastern-europe,0,0,0,8,20,28
taiwan,east-asia,0,0,0,8,20,28
cyprus,eastern-mediterranean,0,0,0,2,26,28
denmark,northern-europe,0,1,1,0,24,26
mauritius,east-africa,0,5,5,0,12,22
israel,middle-east,0,0,0,0,20,20
cote-divoire,west-africa,0,4,4,0,12,20
norway,western-europe,0,2,2,0,0,4
greece,southern-europe,0,1,1,0,0,2
iceland,northern-europe,0,0,0,0,2,2
belize,central-america,0,0,0,0,0,0
bolivia,south-america,0,0,0,0,0,0
belarus,eastern-europe,0,0,0,0,0,0
azerbaijan,caucasus,0,0,0,0,0,0
bosnia-and-herzegovina,southeastern-europe,0,0,0,0,0,0
botswana,unknown,0,0,0,0,0,0
ecuador,south-america,0,0,0,0,0,0
eu-member-states,unknown,0,0,0,0,0,0
czechia,central-europe,0,0,0,0,0,0
burkina-faso,unknown,0,0,0,0,0,0
chad,unknown,0,0,0,0,0,0
chile,south-america,0,0,0,0,0,0
congo,unknown,0,0,0,0,0,0
china,east-asia,0,0,0,0,0,0
cote-d-ivoire,unknown,0,0,0,0,0,0
croatia,southeastern-europe,0,0,0,0,0,0
guyana,south-america,0,0,0,0,0,0
gabon,unknown,0,0,0,0,0,0
gambia,west-africa,0,0,0,0,0,0
georgia,south-caucasus,0,0,0,0,0,0
democratic-republic-of-the-congo,unknown,0,0,0,0,0,0
djibouti,unknown,0,0,0,0,0,0
myanmar,unknown,0,0,0,0,0,0
new-zealand,unknown,0,0,0,0,0,0
international,transnational,0,0,0,0,0,0
kazakhstan,unknown,0,0,0,0,0,0
hong-kong-china,unknown,0,0,0,0,0,0
hong-kong,east-asia,0,0,0,0,0,0
malawi,unknown,0,0,0,0,0,0
maldives,unknown,0,0,0,0,0,0
kosovo,western-balkans,0,0,0,0,0,0
kyrgyzstan,unknown,0,0,0,0,0,0
paraguay,south-america,0,0,0,0,0,0
pakistan,south-asia,0,0,0,0,0,0
slovenia,unknown,0,0,0,0,0,0
south-sudan,unknown,0,0,0,0,0,0
peru,south-america,0,0,0,0,0,0
russia,unknown,0,0,0,0,0,0
rwanda,east-africa,0,0,0,0,0,0
senegal,unknown,0,0,0,0,0,0
suriname,south-america,0,0,0,0,0,0
turkey,western-asia,0,0,0,0,0,0
togo,west-africa,0,0,0,0,0,0
tanzania,east-africa,0,0,0,0,0,0
uganda,unknown,0,0,0,0,0,0
uruguay,south-america,0,0,0,0,0,0
venezuela,south-america,0,0,0,0,0,0
zimbabwe,unknown,0,0,0,0,0,0
